title,artist,album,album_type,release_date,url,id
CUBANA,Chris Paradise,CUBANA,single,2024-07-24,https://open.spotify.com/track/7BODzwLaTLXEhB4HsMq5Ci,7BODzwLaTLXEhB4HsMq5Ci
Cirugia de Amor,Domenic Marte,Cirugia de Amor,single,2024-07-25,https://open.spotify.com/track/14Y9NxBMvC31IVL43kDFin,14Y9NxBMvC31IVL43kDFin
El Cuento,Tony Lozano,El Cuento,single,2024-07-25,https://open.spotify.com/track/3wucSinKTcHdjWTFH99x8E,3wucSinKTcHdjWTFH99x8E
In Da Getto - Bachata Version,DJ Manuel Citro,In Da Getto (Bachata Version),single,2024-07-25,https://open.spotify.com/track/10Zf9F6ldpKc4XNIm3Br4C,10Zf9F6ldpKc4XNIm3Br4C
UN SIGLO SIN TI,Luck Ra,UN SIGLO SIN TI,single,2024-07-25,https://open.spotify.com/track/2AFC9ad4nGauS1cgm7FCqU,2AFC9ad4nGauS1cgm7FCqU
ÁNGEL,Grupo Frontera,ÁNGEL,single,2024-07-25,https://open.spotify.com/track/4JtKlgBLKHtRTqixKHrrw8,4JtKlgBLKHtRTqixKHrrw8
Como La Ultima Vez,Jean & Alex,Como La Ultima Vez,single,2024-07-26,https://open.spotify.com/track/48wcjV6yQfDuRsfE0a4CeS,48wcjV6yQfDuRsfE0a4CeS
El Amor De Su Vida,El Gringo De La Bachata,El Amor De Su Vida,single,2024-07-26,https://open.spotify.com/track/5OTFUrjv51N96CxXFI4yPo,5OTFUrjv51N96CxXFI4yPo
Es Mi Mujer,Joan Soriano,Es Mi Mujer,single,2024-07-26,https://open.spotify.com/track/1rIDibwLJJDLLlFilzTMvT,1rIDibwLJJDLLlFilzTMvT
Hasta el Amanecer - Bachata Version 2.0,DJ Tronky,Hasta el Amanecer (Bachata Version 2.0),single,2024-07-26,https://open.spotify.com/track/0GQS6I5ABZoTi4jEbA3vuS,0GQS6I5ABZoTi4jEbA3vuS
Homenaje a Joe Veras,Ralphy Dreamz,Homenaje a Joe Veras,single,2024-07-26,https://open.spotify.com/track/11uqhDgfUwa9gZqis78Pfc,11uqhDgfUwa9gZqis78Pfc
Maldita Foto - Bachata Version,Mario Rainero,Maldita Foto (Bachata Version),single,2024-07-26,https://open.spotify.com/track/0Jq0YrIhUtZZFKFsGMRzR3,0Jq0YrIhUtZZFKFsGMRzR3
Tu Silueta - Bachata Version,Sebas Garreta,Tu Silueta (Bachata Version),single,2024-07-26,https://open.spotify.com/track/1znOvmRULbBUgUMs1ZuvWl,1znOvmRULbBUgUMs1ZuvWl
